gas_price;gas_type;place_id
22.29;diesel;10356
20.99;regular;10356
24.19;premium;10356
21.89;regular;10322
23.95;premium;10322
22.59;diesel;10322
22.29;regular;2799
24.79;premium;2799
23.39;diesel;2799
21.45;regular;10456
22.85;diesel;10456
22.95;premium;10456
21.89;regular;10488
22.19;diesel;10488
24.19;premium;10488
21.99;regular;10694
22.19;diesel;10694
24.09;premium;10694
21.89;regular;10284
23.95;premium;10284
22.59;diesel;10284
22.29;diesel;10493
20.99;regular;10493
24.19;premium;10493
21.79;regular;10430
22.29;diesel;10430
24.09;premium;10430
21.89;regular;10391
23.95;premium;10391
22.59;diesel;10391
21.89;regular;10662
22.19;diesel;10662
24.19;premium;10662
21.89;regular;10738
22.19;diesel;10738
24.19;premium;10738
22.75;diesel;10614
21.85;regular;10614
23.99;premium;10614
21.59;regular;3113
23.39;premium;3113
21.89;regular;10414
23.95;premium;10414
22.59;diesel;10414
21.59;regular;10588
24.59;premium;10588
22.39;diesel;10420
20.89;regular;10420
24.19;premium;10420
25.19;premium;10505
22.99;regular;10505
21.69;regular;10566
24.09;premium;10566
21.23;regular;10287
22.09;premium;10287
23.25;diesel;10570
21.94;regular;10570
23.63;premium;10570
18.68;regular;10340
20.65;premium;10340
21.98;diesel;10340
21.88;regular;10449
23.88;premium;10449
22.75;diesel;10449
19.81;regular;14539
20.1;diesel;14539
20.8;premium;14539
21.5;regular;10746
23.2;premium;10746
22.99;diesel;10746
22.99;diesel;10377
21.94;regular;10377
23.99;premium;10377
21.55;regular;10494
22.95;premium;10494
22.45;diesel;10494
22.28;regular;10545
24.47;premium;10545
23.73;diesel;10545
22.28;regular;10387
24.47;premium;10387
23.15;premium;10565
21.3;regular;10565
22.49;diesel;10565
23.15;premium;10529
22.59;diesel;10529
21.3;regular;10529
21.39;regular;10586
22.99;premium;10586
21.59;regular;10463
22.99;premium;10463
21.99;diesel;10463
21.39;regular;10526
22.99;premium;10526
21.99;diesel;10526
21.9;regular;2804
23.9;premium;2804
22.28;regular;10645
24.47;premium;10645
22.27;regular;10693
23.71;diesel;10693
21.95;regular;10667
23.03;diesel;10667
21.99;regular;10337
23.69;premium;10337
22.6;diesel;10337
19.77;regular;10792
16.79;diesel;10792
20.29;regular;10723
22.15;premium;10723
22.28;regular;10483
24.18;premium;10483
24.04;diesel;10483
21.2;regular;10681
22.98;premium;10681
21.29;regular;10329
23.79;premium;10329
22.29;diesel;10329
21.92;regular;10389
22.1;premium;10389
22.51;diesel;10389
21.69;regular;3107
23.19;premium;3107
22.49;diesel;3107
19.46;regular;10404
21.29;premium;10404
21.46;diesel;10404
21.95;regular;10305
24.29;premium;10305
23.58;diesel;10305
21.39;regular;10379
22.46;premium;10379
22.65;diesel;10379
20.99;regular;10560
22.7;diesel;10560
17.03;regular;10268
21.89;diesel;10268
19.98;premium;10268
22.3;regular;10286
23.8;diesel;10286
23.98;premium;10286
21.4;regular;10470
22.95;premium;10470
22.7;diesel;10470
18.79;diesel;10701
20.79;regular;10490
22.49;premium;10490
21.99;diesel;10490
20.79;regular;10415
22.49;premium;10415
21.89;diesel;10415
23.69;diesel;2883
24.59;premium;2883
21.99;regular;2883
22.51;regular;10752
23.39;premium;10752
23.76;diesel;10752
23.25;premium;10367
21.89;regular;10367
22.78;diesel;10516
21.22;regular;10516
22.96;premium;10516
20.17;regular;10779
21.9;premium;10779
21.54;diesel;10779
21.9;premium;10589
20.59;regular;10589
22.99;diesel;10589
22.19;regular;10278
22.99;diesel;10278
23.79;premium;10278
22.19;regular;10357
22.99;diesel;10357
23.79;premium;10357
22.55;regular;10299
23.98;premium;10299
21.39;regular;10671
24.1;premium;10671
22.19;regular;10736
22.99;diesel;10736
23.79;premium;10736
22.07;regular;3074
23.15;premium;3074
23.39;diesel;3074
19.95;regular;10790
21.8;premium;10790
21.45;regular;10275
22.87;premium;10275
22.9;diesel;10275
20.32;regular;10672
22.45;premium;10672
22.59;diesel;10296
21.49;regular;10296
21.78;regular;10346
23.68;premium;10346
21.9;regular;10489
23.8;premium;10489
21.64;regular;10568
23.6;premium;10568
22.88;diesel;10568
21.35;diesel;10593
17.29;regular;10593
20.99;regular;10355
22.9;premium;10355
22.55;diesel;10355
21.89;regular;10675
24.49;premium;10675
21.19;regular;3137
23.5;premium;3137
21.99;diesel;3137
21.16;regular;10711
23.63;premium;10711
22.23;diesel;10711
21.16;regular;10382
23.63;premium;10382
22.23;diesel;10382
20.59;regular;10295
22.19;premium;10295
21.99;diesel;10295
21.09;regular;10359
22.99;premium;10359
19.89;regular;10604
19.57;premium;10604
21.38;regular;10351
23.39;premium;10351
21.63;regular;10784
23.44;diesel;10784
21.95;regular;10478
23.79;premium;10478
20.59;regular;10461
22.2;premium;10461
22.09;diesel;10461
21.59;regular;10722
23.71;premium;10722
23.4;diesel;10722
20.99;regular;3019
22.79;diesel;3019
21.8;regular;10727
22.9;premium;10727
22.9;diesel;10727
20.5;regular;10621
22.09;premium;10621
21.99;diesel;10621
22.51;regular;10282
23.93;premium;10282
23.84;diesel;10282
21.69;regular;10386
22.89;diesel;10386
21.8;regular;10756
23.99;premium;10756
23.99;diesel;10756
20.77;regular;10770
22.9;premium;10770
22.8;regular;10422
23.9;diesel;10422
20.55;regular;10401
22.89;premium;10401
21.8;regular;10539
23.99;diesel;10539
22.85;premium;10539
21.05;regular;10343
22.94;premium;10343
22.74;diesel;10343
20.43;regular;3047
22.13;premium;3047
21.98;diesel;3047
21.05;regular;10267
22.98;premium;10267
22.45;diesel;10267
20.23;regular;10530
21.75;diesel;10530
22.15;premium;10530
20.69;regular;10518
22.99;premium;10518
22.19;diesel;10518
20.15;regular;10495
22.28;premium;10495
20.29;diesel;10495
20.23;regular;10447
22.15;premium;10447
21.89;regular;10680
23.39;diesel;10680
23.85;premium;10680
22.79;regular;10274
24.78;premium;10274
24.03;diesel;10274
20.94;regular;10429
22.09;diesel;10429
22.69;premium;10429
21.69;regular;10708
22.89;premium;10708
23.19;diesel;10708
21.21;regular;10486
23.62;premium;10486
21.12;regular;2754
23.18;premium;2754
23;diesel;2754
19.98;regular;10553
21.95;premium;10553
21.99;diesel;10553
21.99;regular;10610
24.49;premium;10610
22.79;diesel;10610
20.6;regular;10475
22.39;premium;10475
21.99;diesel;10475
21.79;regular;10737
24.89;premium;10737
22.79;diesel;10737
21.23;regular;10365
21.99;premium;10365
22.3;diesel;10365
20.99;regular;10726
21.99;premium;10726
20.5;regular;10452
22.5;premium;10452
22.09;regular;10647
24.39;premium;10647
16.35;regular;10394
18.99;premium;10394
22.99;regular;10638
23.25;diesel;10638
23.99;premium;10638
19.99;regular;2915
23.19;premium;2915
22.33;regular;10602
24.93;premium;10602
23.34;diesel;10602
18.57;regular;10517
21.99;diesel;10517
21.79;regular;10650
23.89;premium;10650
22.59;diesel;10650
20.16;regular;10492
21.99;premium;10492
21.9;regular;10358
23.2;premium;10358
21.8;regular;10480
22.87;premium;10480
22.82;diesel;10480
21.5;regular;10556
22.59;diesel;10556
19.99;regular;10628
22.59;premium;10628
20.9;diesel;10628
17.15;regular;10590
18.99;diesel;10590
21.9;regular;10578
23.2;premium;10578
20.99;regular;2967
22.74;premium;2967
22.59;diesel;2967
19.98;regular;10577
21.99;diesel;10577
21.5;regular;10709
21.5;premium;10709
22.59;diesel;10709
17.5;regular;10718
20.89;premium;10718
22.5;diesel;10718
18.49;regular;10630
22.5;diesel;10630
18.49;regular;10535
20.89;premium;10535
17.5;regular;10697
20.89;premium;10697
22.5;diesel;10697
17.25;regular;10510
20.89;premium;10510
22.5;diesel;10510
21.5;regular;10637
23.2;premium;10637
22.59;diesel;10637
17.15;regular;10453
18.99;diesel;10453
17.99;regular;10721
22.5;diesel;10721
21.69;regular;2766
23.19;premium;2766
22.49;diesel;2766
18.29;regular;10643
22.5;diesel;10643
22.5;diesel;10758
17.85;regular;10758
22.59;regular;10432
24.59;premium;10432
22.83;diesel;10432
16.38;regular;10561
18.99;premium;10561
21.1;regular;10376
23.55;premium;10376
21.99;diesel;10376
17.99;regular;10444
20.89;premium;10444
22.5;diesel;10444
18.49;regular;10458
20.89;premium;10458
22.5;diesel;10458
17.5;regular;10344
22.5;diesel;10344
18.49;regular;10606
21.79;premium;10606
20.08;regular;10443
22.19;premium;10443
22.29;diesel;10443
21.69;regular;2875
23.19;premium;2875
22.49;diesel;2875
23.29;regular;10484
24.29;premium;10484
24.29;diesel;10484
20.89;regular;10583
22.69;premium;10583
20.99;regular;10754
22.6;premium;10754
22.4;diesel;10754
21.3;regular;10283
22.79;premium;10283
20.4;regular;10664
22.49;premium;10664
20.94;regular;10600
23.4;premium;10600
22.65;diesel;10600
23.03;regular;10759
24.9;premium;10759
24.4;diesel;10759
21.05;regular;10771
22.84;premium;10771
22.07;diesel;10771
16.15;regular;10385
19.29;premium;10385
20.7;diesel;10385
21.99;regular;10311
23.49;premium;10311
23.59;diesel;10311
21.59;regular;2829
25.69;premium;2829
21.99;regular;10611
23.59;diesel;10611
23.99;premium;10611
21;regular;10441
22.9;premium;10441
21;regular;10393
22.9;premium;10393
22.79;diesel;10393
21;regular;10383
22.9;premium;10383
22.79;diesel;10383
22.65;regular;10696
24.89;premium;10696
23.29;diesel;10696
20.7;regular;10789
22.25;diesel;10789
20.79;regular;10427
23.49;premium;10427
22.7;diesel;10427
21.17;regular;10634
23.39;premium;10634
21.39;diesel;10634
22.89;regular;10572
24.19;premium;10572
24.89;diesel;10572
20.99;regular;10659
23.09;premium;10659
22.39;regular;2783
23.74;premium;2783
23.99;diesel;2783
21.02;regular;10381
22.18;diesel;10381
22.89;premium;10381
22.67;regular;10778
24.07;diesel;10778
23.21;regular;10363
25.19;premium;10363
22.89;diesel;10363
21.3;regular;10499
22.4;diesel;10499
21.9;regular;10521
23.2;premium;10521
21.9;regular;10594
23.2;premium;10594
21.9;regular;10635
23.2;premium;10635
21.9;regular;10468
23.2;premium;10468
22.85;diesel;10468
22.23;regular;10451
23.34;diesel;10451
20.33;regular;10469
22.95;premium;10469
20.99;diesel;10469
22.25;regular;3138
23.65;premium;3138
23.25;diesel;3138
21.89;regular;10528
23.75;premium;10528
22.49;diesel;10528
21.19;regular;10791
22.59;premium;10791
22.89;diesel;10791
21.99;regular;10349
23.85;premium;10349
22.49;diesel;10349
20.55;regular;10613
22.49;premium;10613
22.9;regular;10669
23.89;premium;10669
17.52;regular;10457
23.03;regular;10735
23.88;premium;10735
23.99;diesel;10735
20.75;regular;10618
22.89;premium;10618
22.4;regular;10654
23.25;premium;10654
22.9;regular;10595
23.89;premium;10595
21.59;regular;2755
23.86;premium;2755
22.49;diesel;2755
19.9;regular;10473
21.65;premium;10473
16.49;diesel;10473
21.02;regular;10471
22.83;premium;10471
22.29;diesel;10471
23.25;diesel;10338
21.49;regular;10338
23.59;premium;10338
20.59;regular;10609
21.7;premium;10609
22.99;diesel;10609
21.59;regular;10626
23.09;premium;10626
22.99;diesel;10626
22.79;regular;10541
24.19;premium;10541
23.39;diesel;10541
21.29;regular;10750
23.96;premium;10750
22.39;diesel;10750
22.29;diesel;10631
21.34;regular;10631
23.29;premium;10631
21.99;regular;10786
23.59;premium;10786
23.49;diesel;10786
21.89;diesel;10576
20.19;regular;10576
21.95;premium;10576
21.99;regular;2984
24.69;premium;2984
23.29;diesel;2984
21.9;regular;10676
23.62;premium;10676
23.79;diesel;10704
22.29;regular;10704
23.59;premium;10704
20.45;regular;10677
22.15;premium;10677
20.45;regular;10542
22.19;premium;10542
21.99;diesel;10542
20.97;regular;10689
22.99;premium;10689
21.28;regular;10511
23.18;premium;10511
22.5;regular;10563
24.5;premium;10563
21.19;regular;10684
23.69;premium;10684
22.28;diesel;10684
21.29;regular;10785
23.49;premium;10785
21.65;regular;10312
22.95;diesel;10312
21.89;regular;3041
24.19;premium;3041
22.84;diesel;3041
22.5;regular;10288
24.5;premium;10288
22.5;diesel;10288
21.38;regular;10336
22.45;premium;10336
21.29;regular;10538
24.09;premium;10538
21.19;regular;10730
